"پژو،405، GLX بنزینی",400000,14,30000000
"پژو،206،  تیپ 2",27000,1,82000000
"پراید،131، SE",0,0,49800000
"بنز،کلاس C، C200",178000,9,570000000
"پژو،206،  تیپ 5",83000,4,83500000
"ساینا،EX دنده ای",0,0,64500000
"ب ام و،X4، 28",25000,2,1700000000
"پژو،206 SD، V8",51000,2,86000000
"ساینا،EX دنده ای",77000,2,52000000
"پژو،206،  تیپ 2",0,0,89000000
"سمند،LX، ساده",200000,4,55000000
"پژو،206،  تیپ 2",0,0,90000000
"ب ام و،X4، 28",50000,3,1500000000
"سمند،LX، ساده",45000,4,62000000
"ساینا،EX دنده ای",0,0,64500000
"ب ام و،X4، 28",69000,3,1580000000
"پژو،405، GLX بنزینی",288000,11,40500000
"پژو،405، GLX بنزینی",0,0,79000000
"رنو،تندر90، E2",69500,4,99000000
"رنو،تندر90، E2",33000,2,118000000
"پژو،405، GLX بنزینی",46000,2,68000000
"پژو،206،  تیپ 5",63000,3,75000000
"دنا،پلاس، دنده ای ساده",0,0,150000000
"پراید،131، SE",32000,1,42500000
"ب ام و،X4، 28",57000,3,1400000000
"سمند،LX، ساده",0,0,84800000
"پژو،405، GLX بنزینی",119000,7,48500000
"پژو،206،  تیپ 5",138000,16,44800000
"پژو،206 SD، V8",0,0,109900000
"پژو،206 SD، V8",120000,5,74000000
"پراید،131، SE",0,0,50000000
"پژو،206،  تیپ 5",0,0,110000000
"پژو،405، GLX بنزینی",120000,5,58000000
"پراید،صندوق دار",299500,14,18500000
"سمند،LX، ساده",62000,2,72000000
"پراید،131، SE",0,0,50000000
"پژو،206،  تیپ 2",0,0,89000000
"دنا،پلاس، دنده ای ساده",0,0,150000000
"پژو،206،  تیپ 5",66000,2,91000000
"سمند،LX، ساده",52000,4,65000000
"پژو،206 SD، V8",0,0,108000000
"پژو،206،  تیپ 2",0,0,91000000
"پژو،206،  تیپ 5",220000,8,63000000
"رنو،تندر90، E2",99000,4,106000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",27000,2,365000000
"پژو،206 SD، V8",103400,4,75000000
"پراید،111، SE",0,0,53000000
"پژو،206،  تیپ 5",246000,6,66000000
"پژو،206،  تیپ 5",0,0,105000000
"پژو،206،  تیپ 2",0,0,88000000
"پراید،131، SE",0,0,48500000
"دنا،پلاس، دنده ای ساده",0,0,142000000
"پژو،206 SD، V8",0,0,106000000
"ساینا،EX دنده ای",0,0,64800000
"پژو،206 SD، V8",0,0,109000000
"ب ام و،X4، 28",30000,3,1600000000
"پژو،206،  تیپ 2",0,0,92000000
"پژو،206،  تیپ 2",0,0,90500000
"بنز،کلاس C، C200",126000,6,635000000
"پژو،206،  تیپ 2",69000,2,80000000
"پژو،206،  تیپ 2",0,0,92400000
"پژو،206،  تیپ 2",0,0,93000000
"سمند،LX، ساده",0,0,82000000
"پژو،206،  تیپ 5",0,0,110900000
"پراید،131، SE",0,0,50000000
"پژو،206،  تیپ 2",0,0,92000000
"ساینا،EX دنده ای",0,0,63500000
"پراید،131، SE",40000,1,44200000
"پژو،206،  تیپ 2",26000,2,80000000
"پژو،405، GLX بنزینی",0,0,78500000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",98000,3,330000000
"ساینا،EX دنده ای",0,0,63500000
"پراید،111، SE",0,0,53000000
"پژو،206،  تیپ 2",0,0,90000000
"پژو،206،  تیپ 5",87000,3,74000000
"پژو،206،  تیپ 5",150000,3,74000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",0,0,424000000
"پژو،206،  تیپ 5",0,0,110500000
"کیا،اپتیما، ساده",84000,4,470000000
"ب ام و،X4، 28",21000,3,1590000000
"کیا،اپتیما، ساده",90000,5,440000000
"پژو،206 SD، V8",43000,2,91000000
"رنو،تندر90، E2",182000,11,68000000
"پژو،206،  تیپ 5",131000,5,71000000
"ساینا،EX دنده ای",0,0,64000000
"پژو،206 SD، V8",0,0,111000000
"پژو،206 SD، V8",63000,2,93000000
"پژو،206،  تیپ 2",0,0,89000000
"پژو،206،  تیپ 2",0,0,91000000
"ب ام و،X4، 28",38000,2,1760000000
"ساینا،EX دنده ای",0,0,60500000
"پژو،206،  تیپ 2",0,0,86500000
"پژو،206،  تیپ 5",0,0,103000000
"پراید،131، SE",0,0,48000000
"سمند،LX، ساده",0,0,82000000
"پراید،111، SE",0,0,52000000
"دنا،پلاس، دنده ای ساده",0,0,140000000
"ساینا،EX دنده ای",0,0,60000000
"پژو،206،  تیپ 5",67000,2,95000000
"پژو،206،  تیپ 5",96000,2,89000000
"پژو،405، GLX بنزینی",130000,6,53000000
"رنو،تندر90، E2",204000,8,75550000
"ب ام و،X4، 28",50000,3,1640000000
"پژو،206،  تیپ 5",0,0,107000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",16000,1,379000000
"پژو،206 SD، V8",0,0,105000000
"پژو،206،  تیپ 5",100000,4,76000000
"پژو،206،  تیپ 5",43000,1,98000000
"پژو،206،  تیپ 5",74000,3,82000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",40000,2,346000000
"پژو،405، GLX بنزینی",123000,4,58000000
"ب ام و،X4، 28",0,2,2200000000
"پژو،206،  تیپ 5",54000,3,72000000
"پژو،206،  تیپ 5",115000,5,69000000
"پراید،صندوق دار",250000,17,16800000
"پژو،206،  تیپ 5",35000,2,84800000
"پژو،206 SD، V8",33000,2,92500000
"پژو،206،  تیپ 5",0,0,108500000
"بنز،کلاس C، C200",68000,5,780000000
"پژو،206،  تیپ 5",54000,1,99000000
"پژو،206،  تیپ 5",0,0,109000000
"پژو،206،  تیپ 2",157000,9,51500000
"پژو،206 SD، V8",70000,3,87500000
"پژو،206،  تیپ 2",0,0,93000000
"پژو،405، GLX بنزینی",243000,15,25000000
"پراید،131، SE",98000,3,39000000
"پراید،131، SE",0,0,50000000
"ساینا،EX دنده ای",0,0,64000000
"سمند،LX، ساده",130000,5,57000000
"پراید،صندوق دار",240000,17,18000000
"پژو،206،  تیپ 5",100000,4,81000000
"ساینا،EX دنده ای",0,0,64000000
"سمند،LX، ساده",170000,5,60000000
"پژو،206،  تیپ 5",151000,9,61000000
"پراید،131، SE",0,1,47700000
"ساینا،EX دنده ای",0,0,64150000
"ب ام و،X4، 28",19000,3,1560000000
"پژو،206،  تیپ 5",18000,1,100500000
"پژو،206،  تیپ 5",154000,13,52000000
"پژو،206،  تیپ 2",0,0,90500000
"پژو،206،  تیپ 2",0,0,91900000
"ساینا،EX دنده ای",0,0,65000000
"پژو،206،  تیپ 5",0,0,110000000
"پژو،206،  تیپ 5",105000,4,75000000
"ب ام و،X4، 28",17800,2,1780000000
"رنو،تندر90، E2",130000,7,82000000
"پژو،206،  تیپ 2",0,0,93000000
"پژو،206،  تیپ 2",0,0,92000000
"پژو،206،  تیپ 2",0,0,92000000
"پراید،131، SE",0,0,49400000
"پراید،131، SE",0,0,50000000
"دنا،پلاس، دنده ای ساده",0,0,151000000
"پژو،206،  تیپ 5",0,0,110000000
"پژو،206،  تیپ 2",0,0,91500000
"پژو،206 SD، V8",8700,0,107500000
"پراید،صندوق دار",224000,16,20000000
"پراید،صندوق دار",250000,12,25000000
"پژو،206،  تیپ 2",152000,10,42000000
"ساینا،EX دنده ای",0,0,64500000
"دنا،پلاس، دنده ای ساده",0,0,150000000
"پراید،131، SE",0,0,49000000
"رنو،تندر90، E2",32000,2,120000000
"کیا،اپتیما، ساده",140000,5,435000000
"پژو،206،  تیپ 2",200000,9,56000000
"پراید،صندوق دار",250000,11,25800000
"پژو،206،  تیپ 5",390000,15,45000000
"پراید،131، SE",0,0,49500000
"ب ام و،X4، 28",12800,2,1770000000
"سمند،LX، ساده",68000,1,68800000
"بنز،کلاس C، C200",180000,11,480000000
"پژو،206،  تیپ 2",0,0,92500000
"کیا،اپتیما، ساده",115000,9,250000000
"پژو،206،  تیپ 2",70,2,76000000
"سمند،LX، ساده",120000,5,59000000
"پژو،206،  تیپ 2",75000,4,67000000
"پراید،111، SE",20500,1,48500000
"رنو،تندر90، E2",115000,3,105000000
"پژو،206،  تیپ 5",75000,5,79000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",28000,1,380000000
"پژو،206،  تیپ 2",0,0,91400000
"پژو،405، GLX بنزینی",130000,5,57000000
"پژو،206،  تیپ 5",0,0,107000000
"پژو،405، GLX بنزینی",80000,5,55000000
"پژو،206 SD، V8",0,0,111000000
"پژو،206،  تیپ 5",0,0,110000000
"پراید،131، SE",87000,2,40500000
"پژو،206،  تیپ 5",67000,5,78000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",0,0,427000000
"ب ام و،X4، 28",90000,4,1230000000
"ب ام و،X4، 28",4000,2,2050000000
"پژو،206 SD، V8",107000,4,73500000
"پژو،206،  تیپ 5",75000,6,66000000
"ساینا،EX دنده ای",0,0,65500000
"پژو،206،  تیپ 2",0,0,92000000
"ب ام و،X4، 28",23000,2,1730000000
"پژو،206،  تیپ 2",0,0,91000000
"پراید،131، SE",0,0,50000000
"پراید،131، SE",0,0,50000000
"بنز،کلاس C، C200",132000,11,420000000
"پژو،405، GLX بنزینی",0,0,79300000
"پژو،206،  تیپ 5",0,0,108000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",35000,2,365000000
"پژو،206،  تیپ 2",67000,3,69000000
"پژو،405، GLX بنزینی",0,0,77500000
"دنا،پلاس، دنده ای ساده",0,0,146000000
"پراید،131، SE",0,0,49500000
"پژو،206،  تیپ 2",0,0,89000000
"ب ام و،X4، 28",0,2,2085000000
"پژو،206،  تیپ 5",131000,5,73000000
"پژو،206،  تیپ 5",59000,2,91000000
"بنز،کلاس C، C200",175000,11,460000000
"پراید،131، SE",0,0,49800000
"پژو،405، GLX بنزینی",0,0,79000000
"رنو،تندر90، E2",99000,4,105500000
"پژو،405، GLX بنزینی",167000,5,57000000
"پژو،405، GLX بنزینی",0,0,78000000
"پژو،206،  تیپ 2",0,0,91000000
"ساینا،EX دنده ای",0,0,64300000
"پژو،206،  تیپ 2",0,0,92000000
"دنا،پلاس، دنده ای ساده",0,0,146000000
"بنز،کلاس C، C200",100000,11,480000000
"ب ام و،X4، 28",60000,3,1400000000
"پژو،206 SD، V8",0,0,106000000
"دنا،پلاس، دنده ای ساده",0,0,142000000
"سمند،LX، ساده",0,0,82000000
"پراید،111، SE",0,0,53000000
"پژو،206،  تیپ 2",0,0,88000000
"پژو،206،  تیپ 5",0,0,105000000
"ساینا،EX دنده ای",0,0,61700000
"ساینا،EX دنده ای",0,0,61100000
"ب ام و،X4، 28",28000,2,1740000000
"پراید،صندوق دار",125000,9,27500000
"پژو،206،  تیپ 2",48000,2,80000000
"پژو،206،  تیپ 2",300000,11,44000000
"پژو،206،  تیپ 5",0,0,109500000
"پژو،206،  تیپ 5",46000,5,75000000
"پژو،206،  تیپ 2",0,0,91800000
"ب ام و،X4، 28",51000,4,1170000000
"پژو،206 SD، V8",129000,9,62000000
"پژو،206 SD، V8",0,0,109800000
"پژو،206،  تیپ 2",0,0,90800000
"پژو،206،  تیپ 2",0,0,93800000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",28000,1,380000000
"پژو،206 SD، V8",0,0,103500000
"پژو،206،  تیپ 2",0,0,90000000
"ساینا،EX دنده ای",0,0,60500000
"پژو،206،  تیپ 5",0,0,103500000
"پراید،131، SE",0,0,48300000
"سمند،LX، ساده",0,0,82000000
"پراید،111، SE",0,0,52000000
"پژو،206،  تیپ 2",300000,14,38000000
"پژو،405، GLX بنزینی",0,0,79000000
"پژو،206،  تیپ 2",0,0,91000000
"پراید،131، SE",31000,1,43500000
"پراید،131، SE",0,0,49500000
"پژو،206،  تیپ 2",52000,1,80000000
"پژو،405، GLX بنزینی",240000,17,25800000
"سمند،LX، ساده",65000,2,72000000
"ساینا،EX دنده ای",0,0,64500000
"پژو،206 SD، V8",63000,3,88000000
"ب ام و،X4، 28",40000,3,1580000000
"پراید،131، SE",0,0,50000000
"بنز،کلاس C، C200",95000,7,690000000
"دنا،پلاس، دنده ای ساده",0,0,151000000
"پژو،206،  تیپ 5",82000,3,85500000
"پژو،206 SD، V8",108000,5,79000000
"پژو،206،  تیپ 5",77700,4,78500000
"پژو،206،  تیپ 5",177000,8,58000000
"پژو،206،  تیپ 2",0,0,90500000
"پژو،206،  تیپ 5",70000,5,79000000
"پژو،206،  تیپ 5",0,0,111000000
"پژو،206،  تیپ 5",115000,5,78000000
"پژو،206،  تیپ 5",100000,5,74500000
"رنو،تندر90، E2",52000,2,126000000
"رنو،تندر90، E2",39000,2,125000000
"پژو،206،  تیپ 2",280000,13,44000000
"پژو،405، GLX بنزینی",133000,6,54000000
"پژو،206،  تیپ 2",188000,9,50000000
"پژو،206،  تیپ 2",0,0,91000000
"پژو،206 SD، V8",72000,5,68000000
"پژو،206،  تیپ 2",0,0,93000000
"ساینا،EX دنده ای",0,0,64250000
"پژو،206،  تیپ 2",320000,14,38200000
"پژو،206،  تیپ 2",0,0,93000000
"پژو،206،  تیپ 2",192000,14,40000000
"پژو،206،  تیپ 2",0,0,92000000
"پژو،206 SD، V8",0,0,110000000
"پژو،206 SD، V8",59000,4,85000000
"کیا،اپتیما، ساده",75000,3,550000000
"پژو،206،  تیپ 5",149170,4,57000000
"پژو،405، GLX بنزینی",257000,10,38000000
"پژو،206،  تیپ 2",0,0,92000000
"پژو،206،  تیپ 5",0,0,108000000
"پراید،صندوق دار",380000,15,14000000
"رنو،تندر90، E2",73000,3,105000000
"پژو،206 SD، V8",59000,2,89000000
"رنو،تندر90، E2",81000,4,99000000
"پژو،206،  تیپ 2",79000,3,70000000
"ساینا،EX دنده ای",0,0,64800000
"پژو،206،  تیپ 2",0,0,92000000
"کیا،اپتیما، ساده",92000,6,380000000
"پژو،206،  تیپ 2",0,0,91500000
"ساینا،EX دنده ای",0,0,65000000
"کیا،اپتیما، ساده",126000,9,277000000
"رنو،تندر90، E2",43000,1,120000000
"پژو،206،  تیپ 5",0,0,109000000
"پژو،405، GLX بنزینی",0,0,78000000
"سمند،LX، ساده",0,0,84800000
"ب ام و،X4، 28",20000,3,1750000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",36000,1,385000000
"پژو،206،  تیپ 2",0,0,92000000
"مزدا،3 جدید صندوق دار (مونتاژ)، 2.0 لیتر تیپ 4",0,0,425000000
"پژو،405، GLX بنزینی",0,0,79500000
"پراید،131، SE",0,0,49500000
"پژو،206،  تیپ 2",0,0,91500000
"پژو،206،  تیپ 5",0,0,110000000
"پژو،206،  تیپ 5",85000,4,85000000
"پژو،206،  تیپ 5",0,0,112000000
"پژو،206،  تیپ 5",32700,4,83000000
"پژو،206،  تیپ 5",0,0,109000000
"پژو،206 SD، V8",0,0,107500000
"پراید،131، SE",0,0,50000000
"پژو،206،  تیپ 5",118000,5,71200000
"رنو،تندر90، E2",27000,1,130000000
